Name,NSE Code,Industry,Current Price,CMP to IV,Price to book value,Intrinsic Value,Market Capitalization,Price to Earning,Industry PE,Historical PE 3Years,DuPont Model,PEG Ratio
Westlife Food,WESTLIFE,Hotels,866.55,16.95,22.94,51.11,13512.66,195.26,174.29,125.79,68.18,6.22
Bata India,BATAINDIA,Leather / Leather Products,1354,4.8,12.43,282.31,17402.61,60.19,60.73,68.38,43.09,7.74
Campus Activewe.,CAMPUS,Leather / Leather Products,260.55,3.55,13.33,73.32,7953.45,99.89,60.73,93.83,54.73,3.32
Metro Brands,METROBRAND,Leather / Leather Products,1133.45,5.71,16.54,198.66,30820.83,74.75,60.73,87.53,40.29,3.3
Coal India,COALINDIA,Mining / Minerals / Metals,496.7,0.7,3.7,707.34,306102.68,8.13,23.03,6.75,46.02,0.49
G M D C,GMDCLTD,Mining / Minerals / Metals,420.35,1.61,2.26,261.8,13367.13,15.48,23.03,8.34,15.97,0.54
Hindustan Copper,HINDCOPPER,Mining / Minerals / Metals,372.6,15.64,16.42,23.83,36031.37,118.84,32.42,48.1,22.77,3.98
Hindustan Zinc,HINDZINC,Mining / Minerals / Metals,723.85,2.7,20.09,267.88,305849.63,39.22,32.42,14.32,97.23,140.07
Lloyds Metals,LLOYDSME,Mining / Minerals / Metals,705.45,0.82,12.7,856.57,35643.08,28.68,23.03,26.09,56.34,0.22
NMDC,NMDC,Mining / Minerals / Metals,265.1,1.09,3.21,242.93,77690.36,13.48,23.03,5.94,37.87,2.81
Vedanta,VEDL,Mining / Minerals / Metals,472.45,3.43,5.65,137.64,175619.46,48.19,23.03,7.49,108.67,-4.01
Adani Ports,ADANIPORTS,Miscellaneous,1431.1,2.15,5.88,665.54,309137.53,36.85,35.42,27.92,26.44,2.34
Adani Total Gas,ATGL,Miscellaneous,958.6,10.17,29.45,94.28,105427.82,157.91,15.5,266.9,24.8,6.94
Allcargo Logist.,ALLCARGO,Miscellaneous,71.15,1.53,2.74,46.45,6992.58,50.34,37.83,14.27,43,1.74
BSE,BSE,Miscellaneous,2614.65,4.64,10.73,563.24,35396.15,77.53,52.33,39.4,18.73,4.62
C D S L,CDSL,Miscellaneous,2153,1.73,15.42,1247.52,22498.91,53.67,37.57,48.54,31.88,1.8
CRISIL,CRISIL,Miscellaneous,4349.2,2.57,14.51,1695.34,31803.01,48.88,36.42,48.99,37.63,3.98
Cams Services,CAMS,Miscellaneous,3522,3.89,18.94,904.46,17325.72,49.33,52.33,43.01,54.04,2.25
Century Plyboard,CENTURYPLY,Miscellaneous,673.1,2.41,7.16,279.5,14954.49,41.44,32.7,39.33,33.36,2.14
Cochin Shipyard,COCHINSHIP,Miscellaneous,1843.35,4.24,10.31,435.14,48494.97,88.63,72.86,10.87,10.66,-14.8
Container Corpn.,CONCOR,Miscellaneous,1103.95,4.71,5.66,234.51,67263.01,53.39,37.83,41.98,17.56,83.42
Delhivery,DELHIVERY,Miscellaneous,404.8,,,,,,,,,
GAIL (India),GAIL,Miscellaneous,200.15,1.18,1.7,169.63,131600.65,13.26,15.5,8.54,8.94,1.64
Garden Reach Sh.,GRSE,Miscellaneous,1422.1,1.62,9.63,878.23,16290.51,45.56,72.86,22.84,12.75,1.72
Guj Pipavav Port,GPPL,Miscellaneous,207.5,2.69,4.41,77.14,10031.39,26.36,35.42,19.57,23.29,2.66
Guj.St.Petronet,GSPL,Miscellaneous,296.7,0.76,1.59,392.86,16740.17,10.31,15.5,9.79,32.41,1.02
Gujarat Gas,GUJGASLTD,Miscellaneous,553.85,2.38,4.92,232.33,38126.42,34.6,15.5,27.38,29.53,1.67
Indiamart Inter.,INDIAMART,Miscellaneous,2591.55,1.66,8.93,1559.37,15543.9,46.34,46.8,54.87,16.17,0.61
Indian Energy Ex,IEX,Miscellaneous,154.45,2.13,14.51,72.49,13772.19,40.35,52.33,46.57,39.49,2.32
Indraprastha Gas,IGL,Miscellaneous,452,1.03,3.77,440.28,31640.04,18.14,15.5,20.56,23.79,0.95
Info Edg.(India),NAUKRI,Miscellaneous,6435,4.36,2.79,1477.19,83258.71,128.71,46.8,125.57,1.29,2.3
JSW Infrast,JSWINFRA,Miscellaneous,278.75,1.97,7.3,141.49,58537.54,50.64,35.42,44.67,24.14,1.45
Just Dial,JUSTDIAL,Miscellaneous,958.2,1.92,2.06,499.59,8148.57,22.43,46.8,47.09,2.66,1.22
KFin Technolog.,KFINTECH,Miscellaneous,749.65,2.86,11.25,261.71,12820.8,52.17,52.33,37.72,30.53,0.56
Mahanagar Gas,MGL,Miscellaneous,1287.55,0.82,2.45,1573.63,12718.11,9.94,15.5,12.67,22.8,0.53
Mazagon Dock,MAZDOCK,Miscellaneous,3140.05,3.9,13.2,804.13,63331.61,42,33.6,16.03,14.51,2.15
Multi Comm. Exc.,MCX,Miscellaneous,3740.05,6.29,13.89,594.81,19074.34,229.47,52.33,44.51,13.79,-19.48
NBCC,NBCC,Miscellaneous,149.85,4.66,13.73,32.19,26973,66.54,41.75,29.48,10.02,65.88
One 97,PAYTM,Miscellaneous,357.65,,,,,,,,,
Petronet LNG,PETRONET,Miscellaneous,306.4,1.12,2.73,272.87,45960,13,15.5,10.31,25.21,1.25
RattanIndia Ent,RTNINDIA,Miscellaneous,76.38,2.03,14.49,37.58,10557.76,25.29,37.57,20.69,-1575.56,1.79
SPARC,SPARC,Miscellaneous,213.85,,,,,,,,,
TVS Supply,TVSSCS,Miscellaneous,175.05,,,,,,,,,
